iter	Passed	Remaining
0	3	1471
1	6	1311
2	9	1218
3	12	1190
4	15	1233
5	19	1251
6	21	1220
7	24	1213
8	27	1195
9	30	1195
10	33	1187
11	36	1180
12	39	1178
13	42	1169
14	45	1169
15	48	1173
16	52	1175
17	54	1160
18	58	1166
19	61	1159
20	64	1157
21	67	1153
22	70	1154
23	73	1146
24	75	1131
25	78	1127
26	80	1116
27	83	1105
28	85	1096
29	87	1084
30	90	1074
31	92	1064
32	94	1056
33	97	1050
34	100	1043
35	102	1035
36	104	1029
37	107	1023
38	109	1018
39	112	1013
40	115	1014
41	118	1012
42	121	1007
43	124	1005
44	126	1001
45	129	998
46	132	991
47	134	985
48	137	984
49	140	981
50	142	975
51	144	970
52	147	964
53	149	959
54	152	953
55	154	947
56	156	942
57	159	939
58	161	935
59	164	933
60	167	929
61	169	926
62	172	922
63	174	917
64	177	913
65	180	912
66	182	908
67	185	903
68	187	900
69	190	896
70	192	892
71	195	889
72	197	885
73	200	882
74	202	878
75	205	875
76	207	871
77	210	868
78	213	865
79	215	861
80	218	860
81	221	859
82	224	855
83	226	851
84	229	848
85	231	844
86	233	840
87	235	836
88	238	832
89	240	828
90	243	827
91	245	823
92	248	819
93	250	816
94	253	813
95	255	810
96	258	806
97	260	803
98	263	800
99	265	797
100	268	795
101	271	791
102	273	787
103	276	786
104	278	782
105	280	778
106	283	775
107	285	771
108	287	768
109	290	765
110	292	761
111	295	758
112	297	755
113	299	752
114	302	749
115	304	746
116	307	744
117	310	741
118	312	737
119	314	734
120	317	732
121	319	729
122	322	726
123	324	723
124	328	722
125	330	719
126	333	715
127	335	712
128	338	710
129	340	707
130	343	704
131	345	702
132	348	699
133	350	695
134	352	692
135	355	689
136	357	686
137	359	682
138	361	679
139	364	676
140	366	672
141	368	669
142	370	666
143	373	663
144	375	660
145	377	657
146	380	654
147	382	651
148	384	648
149	387	645
150	389	642
151	391	638
152	393	635
153	396	633
154	398	630
155	400	626
156	402	623
157	405	620
158	407	617
159	410	615
160	412	612
161	415	609
162	417	607
163	420	604
164	422	601
165	424	598
166	426	595
167	429	592
168	431	589
169	434	587
170	436	584
171	438	581
172	441	578
173	443	575
174	445	572
175	447	569
176	450	566
177	452	563
178	454	561
179	456	558
180	458	555
181	460	552
182	463	549
183	465	546
184	467	543
185	469	540
186	471	537
187	473	534
188	476	532
189	478	529
190	481	526
191	483	523
192	485	520
193	487	517
194	489	514
195	491	511
196	494	509
197	496	506
198	498	503
199	501	501
200	503	498
201	505	495
202	508	493
203	510	490
204	512	487
205	515	485
206	517	482
207	520	480
208	523	478
209	526	476
210	529	474
211	531	471
212	534	468
213	536	466
214	539	464
215	542	461
216	544	459
217	547	457
218	549	454
219	551	451
220	553	448
221	555	445
222	558	442
223	560	440
224	562	437
225	564	434
226	566	431
227	568	429
228	571	426
229	573	423
230	575	420
231	577	418
232	579	415
233	581	412
234	583	409
235	585	407
236	588	404
237	590	401
238	592	399
239	594	396
240	596	393
241	598	391
242	601	388
243	603	385
244	605	383
245	607	380
246	610	377
247	612	375
248	614	372
249	616	369
250	618	367
251	620	364
252	623	362
253	625	359
254	627	356
255	629	354
256	631	351
257	634	348
258	636	346
259	638	343
260	640	341
261	642	338
262	644	335
263	646	333
264	649	330
265	651	328
266	653	325
267	655	322
268	657	320
269	659	317
270	662	315
271	664	312
272	666	309
273	668	307
274	670	304
275	672	302
276	674	299
277	677	297
278	679	294
279	681	292
280	683	289
281	685	286
282	687	284
283	690	281
284	692	279
285	694	276
286	696	274
287	698	271
288	700	269
289	703	266
290	705	264
291	708	261
292	710	259
293	712	256
294	714	254
295	716	251
296	718	249
297	721	246
298	723	244
299	725	241
300	727	239
301	729	236
302	731	234
303	734	231
304	736	229
305	738	226
306	740	224
307	742	221
308	744	219
309	747	216
310	749	214
311	751	211
312	753	209
313	755	207
314	758	204
315	760	202
316	762	199
317	764	197
318	766	194
319	769	192
320	771	189
321	773	187
322	775	184
323	777	182
324	779	179
325	782	177
326	784	175
327	786	172
328	788	170
329	790	167
330	792	165
331	795	162
332	797	160
333	799	157
334	801	155
335	803	153
336	805	150
337	808	148
338	810	145
339	812	143
340	814	140
341	816	138
342	819	136
343	821	133
344	823	131
345	825	128
346	827	126
347	830	124
348	832	121
349	834	119
350	836	116
351	838	114
352	841	112
353	843	109
354	845	107
355	847	104
356	849	102
357	851	99
358	853	97
359	855	95
360	858	92
361	860	90
362	862	87
363	864	85
364	866	83
365	869	80
366	871	78
367	873	75
368	875	73
369	877	71
370	879	68
371	881	66
372	884	63
373	886	61
374	888	59
375	890	56
376	892	54
377	894	52
378	896	49
379	899	47
380	901	44
381	903	42
382	906	40
383	908	37
384	910	35
385	913	33
386	915	30
387	917	28
388	919	25
389	921	23
390	923	21
391	926	18
392	928	16
393	930	14
394	932	11
395	935	9
396	937	7
397	939	4
398	941	2
399	943	0
